field	pass1	pass2
exit	0	0
assets	105	105
complete_assets	105	105
incomplete_assets	0	0
acp_assets	926	926
complete_acp_assets	926	926
incomplete_acp_assets	0	0
converted_objects	13115	13115
synthesized_objects	625	625
blocked_objects	0	0
semantic_objects	13740	13740
characters	13	13
character_packages_complete	13	13
character_packages_incomplete	0	0
controllers	79	79
animation_sets	31	31
animations	926	926
animation_graph_assets	25	25
animation_graph_nodes	29808	29808
venue_assets	26	26
venue_references	12979	12979
venue_scripts	7	7
venue_script_blocked	0	0
venue_script_bytes	886557	886557
venue_camera_records	201	201
venue_camera_keyframes	181864	181864
venue_camera_blocked	0	0
