field	value
exit	0
song	shoutatthedevil
venue	world/gh1_small_club/gen/gh1_small_club.milo_ps2
lighting	world/gh1_small_club/gen/lighting.milo_ps2
camera_records	23
camera_keys	23
regular_camera_sweeps	2
native_gh2_layout_performers	4
performer_loads	4
guitarist	char/alterna/og/gen/alterna.milo_ps2
singer	char/female_singer/og/gen/female_singer.milo_ps2
bassist	char/metal_bass/og/gen/metal_bass.milo_ps2
drummer	char/metal_drummer/og/gen/metal_drummer.milo_ps2
legacy_raw_script_loads	0
unsupported_script_operations	0
unresolved_venue_targets	0
deployed_exe_sha256	ED0676B422BD8C2BDB5EA853B18DD9A028C438F61DB779ACA2376C416A178625
video_sha256	5B2CBEED82F5C1021E28A68B32ADF8D1EAF265BF2A6A3EBA9DE9841F0CA86181
