archive_path	source_type	source_name	target_type	target_name	status	detail
charsys/grim/anims/editor/gen/grim_idle_ui.acp	ACP	grim_idle_ui	CharClipSamples	grim_idle_ui	converted	revision-18/5 ACP mapped to native revision-10 CharClipSamples
charsys/nu_metal/anims/editor/gen/nu_idle_ui.acp	ACP	nu_idle_ui	CharClipSamples	nu_idle_ui	converted	revision-18/5 ACP mapped to native revision-10 CharClipSamples
charsys/metal_singer/gen/metal_face.rnd_ps2	Mesh	open.1.mesh	Mesh	open.1.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_face.rnd_ps2	Mesh	ref.1.mesh	Mesh	ref.1.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_face.rnd_ps2	Morph	face.mrf	Morph	face.mrf	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Tex	metal_singer_arms.tex	Tex	metal_singer_arms.tex	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Tex	metal_singer_hair.tex	Tex	metal_singer_hair.tex	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Tex	metal_singer_head.tex	Tex	metal_singer_head.tex	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Tex	metal_singer_legs.tex	Tex	metal_singer_legs.tex	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Tex	metal_singer_torso.tex	Tex	metal_singer_torso.tex	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Tex	mic.tex	Tex	mic.tex	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	legs-singer.mat	Mat	legs-singer.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	hair-singer.mat	Mat	hair-singer.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	arms-singer.mat	Mat	arms-singer.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	torso-singer.mat	Mat	torso-singer.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	foot-singer.mat	Mat	foot-singer.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	necklace-singer.mat	Mat	necklace-singer.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	obj_mic_stand.mat	Mat	obj_mic_stand.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mat	head-singer.mat	Mat	head-singer.mat	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger.7.mesh	Mesh	msinger.7.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	bone_R-hand.mesh	Mesh	bone_R-hand.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	bone_L-upperTwist2.mesh	Mesh	bone_L-upperTwist2.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger.13.mesh	Mesh	msinger.13.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	bone_R-foreArm.mesh	Mesh	bone_R-foreArm.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	bone_R-upperTwist1.mesh	Mesh	bone_R-upperTwist1.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	mic_stand.mesh	Mesh	mic_stand.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger_lod1.4.mesh	Mesh	msinger_lod1.4.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger.17.mesh	Mesh	msinger.17.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger_lod1.13.mesh	Mesh	msinger_lod1.13.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger_lod1.8.mesh	Mesh	msinger_lod1.8.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger_lod1.17.mesh	Mesh	msinger_lod1.17.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	shair_lod1.mesh	Mesh	shair_lod1.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	msinger.20.mesh	Mesh	msinger.20.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	bone_R-ankle.mesh	Mesh	bone_R-ankle.mesh	converted	revision-aware semantic conversion
charsys/metal_singer/gen/metal_singer.rnd_ps2	Mesh	bone_L-hand.mesh	Mesh	bone_L-hand.mesh	converted	revision-aware semantic conversion
