archive_path	object	set0_channels	set0_samples	set0_compression	set0_frame_bytes	set0_sample_bytes	set0_facing_channels	set1_channels	set1_samples	set1_compression	set1_frame_bytes	set1_sample_bytes	set1_facing_channels	overlap_channels
charsys/grim/anims/editor/gen/grim_idle_ui.acp	grim_idle_ui	39	373	1	196	73108	0	18	1	1	112	112	0	0
charsys/nu_metal/anims/editor/gen/nu_idle_ui.acp	nu_idle_ui	50	229	1	282	64578	0	9	1	1	42	42	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_right_medium.acp	nu_walk_normal_right_medium	27	101	1	192	19392	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_forward_fast.acp	nu_walk_normal_forward_fast	27	129	1	192	24768	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_walk_forward_medium.acp	nu_walk_forward_medium	27	157	1	192	30144	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_turn_right_180_fast.acp	nu_turn_right_180_fast	26	109	1	184	20056	2	35	1	1	154	154	0	0
charsys/nu_metal/anims/gen/nu_turn_right_135_medium.acp	nu_turn_right_135_medium	25	77	1	176	13552	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_stop_right_90_fast.acp	nu_stop_right_90_fast	30	75	1	210	15750	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_stop_right_45_medium.acp	nu_stop_right_45_medium	27	96	1	192	18432	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stop_left_45_fast.acp	nu_stop_left_45_fast	29	68	1	202	13736	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_idle_medium.acp	nu_idle_medium	26	153	1	190	29070	2	35	1	1	148	148	0	0
charsys/nu_metal/anims/gen/nu_turn_right_180_medium.acp	nu_turn_right_180_medium	25	105	1	176	18480	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_stop_right_90_medium.acp	nu_stop_right_90_medium	27	94	1	192	18048	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_turn_forward_fast.acp	nu_turn_forward_fast	29	81	1	202	16362	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_turn_left_45_medium.acp	nu_turn_left_45_medium	27	89	1	192	17088	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stop_forward_medium.acp	nu_stop_forward_medium	27	90	1	192	17280	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stop_right_135_fast.acp	nu_stop_right_135_fast	25	76	1	176	13376	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_turn_left_90_medium.acp	nu_turn_left_90_medium	27	86	1	192	16512	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_turn_left_135_fast.acp	nu_turn_left_135_fast	30	71	1	210	14910	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_forward_medium.acp	nu_walk_normal_forward_medium	27	124	1	192	23808	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_idle_fast.acp	nu_idle_fast	27	177	1	192	33984	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_turn_left_135_medium.acp	nu_turn_left_135_medium	27	75	1	192	14400	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_walk_backward_medium.acp	nu_walk_backward_medium	27	169	1	192	32448	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_turn_right_90_fast.acp	nu_turn_right_90_fast	30	86	1	210	18060	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_stop_backward_fast.acp	nu_stop_backward_fast	30	68	1	210	14280	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_stop_backward_medium.acp	nu_stop_backward_medium	29	85	1	202	17170	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_turn_left_180_medium.acp	nu_turn_left_180_medium	27	95	1	192	18240	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stop_left_90_fast.acp	nu_stop_left_90_fast	30	75	1	210	15750	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_turn_right_45_medium.acp	nu_turn_right_45_medium	27	96	1	192	18432	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_extreme_medium_04.acp	nu_extreme_medium_04	27	252	1	186	46872	2	34	1	1	152	152	0	0
charsys/nu_metal/anims/gen/nu_walk_left_fast.acp	nu_walk_left_fast	25	85	1	176	14960	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_extreme_medium_03.acp	nu_extreme_medium_03	28	343	1	194	66542	2	33	1	1	144	144	0	0
charsys/nu_metal/anims/gen/nu_extreme_medium_02.acp	nu_extreme_medium_02	28	316	1	194	61304	2	33	1	1	144	144	0	0
charsys/nu_metal/anims/gen/nu_extreme_medium_01.acp	nu_extreme_medium_01	29	329	1	202	66458	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_walk_right_medium.acp	nu_walk_right_medium	27	92	1	192	17664	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_walk_forward_fast.acp	nu_walk_forward_fast	27	104	1	192	19968	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_lose_03.acp	nu_lose_03	43	205	1	260	53300	2	18	1	1	78	78	0	0
charsys/nu_metal/anims/gen/nu_lose_02.acp	nu_lose_02	30	210	1	210	44100	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_turn_left_45_fast.acp	nu_turn_left_45_fast	29	67	1	202	13534	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_lose_01.acp	nu_lose_01	31	228	1	212	48336	2	30	1	1	126	126	0	0
charsys/nu_metal/anims/gen/nu_turn_right_90_medium.acp	nu_turn_right_90_medium	25	86	1	176	15136	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_turn_left_180_fast.acp	nu_turn_left_180_fast	30	66	1	210	13860	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_turn_backward_fast.acp	nu_turn_backward_fast	25	51	1	176	8976	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_walk_backward_fast.acp	nu_walk_backward_fast	27	180	1	192	34560	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_turn_forward_medium.acp	nu_turn_forward_medium	27	73	1	192	14016	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_turn_right_135_fast.acp	nu_turn_right_135_fast	30	67	1	210	14070	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_stand_bad.acp	nu_stand_bad	30	329	1	210	69090	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_stop_forward_fast.acp	nu_stop_forward_fast	29	59	1	202	11918	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_stop_right_45_fast.acp	nu_stop_right_45_fast	30	72	1	210	15120	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_intro_02.acp	nu_intro_02	43	145	1	266	38570	2	18	1	1	72	72	0	0
charsys/nu_metal/anims/gen/nu_stop_left_45_medium.acp	nu_stop_left_45_medium	25	86	1	176	15136	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_intro_01.acp	nu_intro_01	42	271	1	258	69918	2	19	1	1	80	80	0	0
charsys/nu_metal/anims/gen/nu_extreme_fast_04.acp	nu_extreme_fast_04	29	335	1	202	67670	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_turn_backward_medium.acp	nu_turn_backward_medium	25	81	1	176	14256	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_extreme_fast_02.acp	nu_extreme_fast_02	31	274	1	218	59732	2	30	1	1	120	120	0	0
charsys/nu_metal/anims/gen/nu_extreme_fast_01.acp	nu_extreme_fast_01	29	355	1	202	71710	2	32	1	1	136	136	0	0
charsys/nu_metal/anims/gen/nu_stand_medium_04.acp	nu_stand_medium_04	27	155	1	192	29760	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stand_medium_03.acp	nu_stand_medium_03	37	146	1	242	35332	2	24	1	1	96	96	0	0
charsys/nu_metal/anims/gen/nu_stand_medium_01.acp	nu_stand_medium_01	27	162	1	192	31104	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_special_02.acp	nu_special_02	51	134	1	288	38592	2	10	1	1	50	50	0	0
charsys/nu_metal/anims/gen/nu_stand_fast_03.acp	nu_stand_fast_03	25	155	1	188	29140	2	36	1	1	150	150	0	0
charsys/nu_metal/anims/gen/nu_special_01.acp	nu_special_01	59	153	1	334	51102	2	2	1	1	4	4	0	0
charsys/nu_metal/anims/gen/nu_stand_fast_02.acp	nu_stand_fast_02	27	146	1	192	28032	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stand_fast_01.acp	nu_stand_fast_01	27	159	1	192	30528	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stop_left_90_medium.acp	nu_stop_left_90_medium	27	86	1	192	16512	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_win_final.acp	nu_win_final	56	551	1	298	164198	2	5	1	1	40	40	0	0
charsys/nu_metal/anims/gen/nu_turn_left_90_fast.acp	nu_turn_left_90_fast	28	91	1	194	17654	2	33	1	1	144	144	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_backward_fast.acp	nu_walk_normal_backward_fast	27	117	1	192	22464	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_walk_left_medium.acp	nu_walk_left_medium	27	117	1	192	22464	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_win_03.acp	nu_win_03	45	181	1	270	48870	2	16	1	1	68	68	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_right_fast.acp	nu_walk_normal_right_fast	27	56	1	192	10752	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_win_02.acp	nu_win_02	52	180	1	302	54360	2	9	1	1	36	36	0	0
charsys/nu_metal/anims/gen/nu_walk_right_fast.acp	nu_walk_right_fast	25	77	1	176	13552	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_win_01.acp	nu_win_01	36	161	1	234	37674	2	25	1	1	104	104	0	0
charsys/nu_metal/anims/gen/nu_stop_left_135_medium.acp	nu_stop_left_135_medium	25	83	1	176	14608	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_left_medium.acp	nu_walk_normal_left_medium	25	84	1	176	14784	2	36	1	1	162	162	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_left_fast.acp	nu_walk_normal_left_fast	27	66	1	192	12672	2	34	1	1	146	146	0	0
charsys/nu_metal/anims/gen/nu_stop_left_135_fast.acp	nu_stop_left_135_fast	30	74	1	210	15540	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_walk_normal_backward_medium.acp	nu_walk_normal_backward_medium	26	160	1	184	29440	2	35	1	1	154	154	0	0
charsys/nu_metal/anims/gen/nu_turn_right_45_fast.acp	nu_turn_right_45_fast	30	72	1	210	15120	2	31	1	1	128	128	0	0
charsys/nu_metal/anims/gen/nu_stop_right_135_medium.acp	nu_stop_right_135_medium	27	87	1	192	16704	2	34	1	1	146	146	0	0
charsys/alterna/anims/finger/gen/finger_chord_bar.acp	finger_chord_bar	0	0	1	0	0	0	17	1	1	80	80	0	0
charsys/alterna/anims/finger/gen/finger_vibrato_index.acp	finger_vibrato_index	6	10	1	40	400	0	11	1	1	40	40	0	0
charsys/alterna/anims/finger/gen/strum_down_long.acp	strum_down_long	14	31	1	74	2294	0	6	1	1	24	24	0	0
charsys/alterna/anims/finger/gen/strum_pluck_short.acp	strum_pluck_short	1	7	1	8	56	0	19	1	1	90	90	0	0
charsys/alterna/anims/finger/gen/finger_vibrato_pinky.acp	finger_vibrato_pinky	9	9	1	48	432	0	8	1	1	32	32	0	0
charsys/alterna/anims/finger/gen/finger_vibrato_pinky_hi.acp	finger_vibrato_pinky_hi	11	9	1	68	612	0	6	1	1	12	12	0	0
charsys/alterna/anims/finger/gen/finger_open.acp	finger_open	0	0	1	0	0	0	17	1	1	80	80	0	0
charsys/alterna/anims/finger/gen/finger_vibrato_ring.acp	finger_vibrato_ring	9	13	1	42	546	0	8	1	1	38	38	0	0
charsys/alterna/anims/finger/gen/finger_hold_index.acp	finger_hold_index	0	0	1	0	0	0	17	1	1	80	80	0	0
