invocation	clip_set	target	directory	archetype	compiled_archetype	acg	set_play_flags	set_blend_width	move_self	recenter_channels	recenter_bones	recenter_slide	animation	flags	play_flags	blend_width	channels	excluded_venues
BASS_ANIMS	main::bass.cset	bass	charsys/metal_bass/anims	charsys/metal_bass/metal_bass.rnd	charsys/metal_bass/gen/metal_bass.rnd_ps2	charsys/metal_bass/anims/bass.acg	2	1	0	bone_pelvis,bone_pos_gutbass	bone_L-toe,bone_L-foot,bone_R-toe,bone_R-foot	0	bassist_active_fast	6	2	1	bone_L Finger0.quat,bone_L Hand.quat,bone_L-clavicle.quat,bone_L-foot.quat,bone_L-foreArm.rotz,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe.rotz,bone_L-upperArm.quat,bone_R Finger0.quat,bone_R Hand.quat,bone_R-clavicle.quat,bone_R-foot.quat,bone_R-foreArm.rotz,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe.rotz,bone_R-upperArm.quat,bone_beard.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_ponytail1.rotz,bone_ponytail11.rotz,bone_ponytail2.rotz,bone_ponytail21.rotz,bone_pos_gutbass.pos,bone_pos_gutbass.quat,bone_spine1.quat,bone_spine2.quat	
BASS_ANIMS	main::bass.cset	bass	charsys/metal_bass/anims	charsys/metal_bass/metal_bass.rnd	charsys/metal_bass/gen/metal_bass.rnd_ps2	charsys/metal_bass/anims/bass.acg	2	1	0	bone_pelvis,bone_pos_gutbass	bone_L-toe,bone_L-foot,bone_R-toe,bone_R-foot	0	bassist_active_medium	5	2	1	bone_L Finger0.quat,bone_L Hand.quat,bone_L-clavicle.quat,bone_L-foot.quat,bone_L-foreArm.rotz,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe.rotz,bone_L-upperArm.quat,bone_R Finger0.quat,bone_R Hand.quat,bone_R-clavicle.quat,bone_R-foot.quat,bone_R-foreArm.rotz,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe.rotz,bone_R-upperArm.quat,bone_beard.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_ponytail1.rotz,bone_ponytail11.rotz,bone_ponytail2.rotz,bone_ponytail21.rotz,bone_pos_gutbass.pos,bone_pos_gutbass.quat,bone_spine1.quat,bone_spine2.quat	
BASS_ANIMS	main::bass.cset	bass	charsys/metal_bass/anims	charsys/metal_bass/metal_bass.rnd	charsys/metal_bass/gen/metal_bass.rnd_ps2	charsys/metal_bass/anims/bass.acg	2	1	0	bone_pelvis,bone_pos_gutbass	bone_L-toe,bone_L-foot,bone_R-toe,bone_R-foot	0	bassist_idle	64	2	1	bone_L Finger0.quat,bone_L Hand.quat,bone_L-clavicle.quat,bone_L-foot.quat,bone_L-foreArm.rotz,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe.rotz,bone_L-upperArm.quat,bone_R Finger0.quat,bone_R Hand.quat,bone_R-clavicle.quat,bone_R-foot.quat,bone_R-foreArm.rotz,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe.rotz,bone_R-upperArm.quat,bone_beard.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_ponytail1.rotz,bone_ponytail11.rotz,bone_ponytail2.rotz,bone_ponytail21.rotz,bone_pos_gutbass.pos,bone_pos_gutbass.quat,bone_spine1.quat,bone_spine2.quat	
BASS_ANIMS	main::bass.cset	bass	charsys/metal_bass/anims	charsys/metal_bass/metal_bass.rnd	charsys/metal_bass/gen/metal_bass.rnd_ps2	charsys/metal_bass/anims/bass.acg	2	1	0	bone_pelvis,bone_pos_gutbass	bone_L-toe,bone_L-foot,bone_R-toe,bone_R-foot	0	bassist_lose	128	16	1	bone_L Finger0.quat,bone_L Hand.quat,bone_L-clavicle.quat,bone_L-foot.quat,bone_L-foreArm.rotz,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe.rotz,bone_L-upperArm.quat,bone_R Finger0.quat,bone_R Hand.quat,bone_R-clavicle.quat,bone_R-foot.quat,bone_R-foreArm.rotz,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe.rotz,bone_R-upperArm.quat,bone_beard.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_ponytail1.rotz,bone_ponytail11.rotz,bone_ponytail2.rotz,bone_ponytail21.rotz,bone_pos_gutbass.pos,bone_pos_gutbass.quat,bone_spine1.quat,bone_spine2.quat	
BASS_ANIMS	main::bass.cset	bass	charsys/metal_bass/anims	charsys/metal_bass/metal_bass.rnd	charsys/metal_bass/gen/metal_bass.rnd_ps2	charsys/metal_bass/anims/bass.acg	2	1	0	bone_pelvis,bone_pos_gutbass	bone_L-toe,bone_L-foot,bone_R-toe,bone_R-foot	0	bassist_win	256	16	1	bone_L Finger0.quat,bone_L Hand.quat,bone_L-clavicle.quat,bone_L-foot.quat,bone_L-foreArm.rotz,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe.rotz,bone_L-upperArm.quat,bone_R Finger0.quat,bone_R Hand.quat,bone_R-clavicle.quat,bone_R-foot.quat,bone_R-foreArm.rotz,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe.rotz,bone_R-upperArm.quat,bone_beard.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_ponytail1.rotz,bone_ponytail11.rotz,bone_ponytail2.rotz,bone_ponytail21.rotz,bone_pos_gutbass.pos,bone_pos_gutbass.quat,bone_spine1.quat,bone_spine2.quat	
DRUMMER_ANIMS	main::drummer.cset	drummer	charsys/metal_drummer/anims	charsys/metal_drummer/metal_drummer.rnd	charsys/metal_drummer/gen/metal_drummer.rnd_ps2	charsys/metal_drummer/anims/drummer.acg	2	1	0			0	drummer_active_fast_allbeat	10	2	1	bone_L-ankle.quat,bone_L-clavicle.quat,bone_L-finger0.rotx,bone_L-foreArm.rotz,bone_L-hand.quat,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe0.rotz,bone_L-upperArm.quat,bone_R-ankle.quat,bone_R-clavicle.quat,bone_R-finger0.rotx,bone_R-foreArm.rotz,bone_R-hand.quat,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe0.rotz,bone_R-upperArm.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_spine.quat,bone_spine1.quat	
DRUMMER_ANIMS	main::drummer.cset	drummer	charsys/metal_drummer/anims	charsys/metal_drummer/metal_drummer.rnd	charsys/metal_drummer/gen/metal_drummer.rnd_ps2	charsys/metal_drummer/anims/drummer.acg	2	1	0			0	drummer_active_fast_double	18	2	1	bone_L-ankle.quat,bone_L-clavicle.quat,bone_L-finger0.rotx,bone_L-foreArm.rotz,bone_L-hand.quat,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe0.rotz,bone_L-upperArm.quat,bone_R-ankle.quat,bone_R-clavicle.quat,bone_R-finger0.rotx,bone_R-foreArm.rotz,bone_R-hand.quat,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe0.rotz,bone_R-upperArm.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_spine.quat,bone_spine1.quat	
DRUMMER_ANIMS	main::drummer.cset	drummer	charsys/metal_drummer/anims	charsys/metal_drummer/metal_drummer.rnd	charsys/metal_drummer/gen/metal_drummer.rnd_ps2	charsys/metal_drummer/anims/drummer.acg	2	1	0			0	drummer_active_fast_half	34	4	1	bone_L-ankle.quat,bone_L-clavicle.quat,bone_L-finger0.rotx,bone_L-foreArm.rotz,bone_L-hand.quat,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe0.rotz,bone_L-upperArm.quat,bone_R-ankle.quat,bone_R-clavicle.quat,bone_R-finger0.rotx,bone_R-foreArm.rotz,bone_R-hand.quat,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe0.rotz,bone_R-upperArm.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_spine.quat,bone_spine1.quat	
DRUMMER_ANIMS	main::drummer.cset	drummer	charsys/metal_drummer/anims	charsys/metal_drummer/metal_drummer.rnd	charsys/metal_drummer/gen/metal_drummer.rnd_ps2	charsys/metal_drummer/anims/drummer.acg	2	1	0			0	drummer_active_fast_normal	6	2	1	bone_L-ankle.quat,bone_L-clavicle.quat,bone_L-finger0.rotx,bone_L-foreArm.rotz,bone_L-hand.quat,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe0.rotz,bone_L-upperArm.quat,bone_R-ankle.quat,bone_R-clavicle.quat,bone_R-finger0.rotx,bone_R-foreArm.rotz,bone_R-hand.quat,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe0.rotz,bone_R-upperArm.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_spine.quat,bone_spine1.quat	
DRUMMER_ANIMS	main::drummer.cset	drummer	charsys/metal_drummer/anims	charsys/metal_drummer/metal_drummer.rnd	charsys/metal_drummer/gen/metal_drummer.rnd_ps2	charsys/metal_drummer/anims/drummer.acg	2	1	0			0	drummer_active_medium_allbeat	9	2	1	bone_L-ankle.quat,bone_L-clavicle.quat,bone_L-finger0.rotx,bone_L-foreArm.rotz,bone_L-hand.quat,bone_L-knee.rotz,bone_L-thigh.quat,bone_L-toe0.rotz,bone_L-upperArm.quat,bone_R-ankle.quat,bone_R-clavicle.quat,bone_R-finger0.rotx,bone_R-foreArm.rotz,bone_R-hand.quat,bone_R-knee.rotz,bone_R-thigh.quat,bone_R-toe0.rotz,bone_R-upperArm.quat,bone_head.quat,bone_neck.rotz,bone_pelvis.pos,bone_pelvis.quat,bone_spine.quat,bone_spine1.quat	
