authored_name	package	band	role	directory	skeleton	compiled_skeleton	lods	sphere	sphere_base	use_delta	servo_channels	realign	controllers	eyes	eye_parent	eye_constraint	eye_lower_lid	walk	face_file	face_poses	face_pose_names	face_excitement_states	face_excitement_map	face_blend_time	face_pose_length	face_event_list	face_event_offset	face_events	shadow_file
metal	metal	0	guitarist	charsys/metal	metal	charsys/metal/gen/metal.rnd_ps2	0.28	0,0,0,39	bone_pelvis.mesh	1	63	0	8	1	bone_head.mesh	0.925	0.5	1	charsys/metal/metal_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/metal/metal_shadow.rnd
nu_metal	nu_metal	0	guitarist	charsys/nu_metal	nu_metal	charsys/nu_metal/gen/nu_metal.rnd_ps2	0.28	0,0,0,36	bone_pelvis.mesh	1	67	0	8	1	bone_head.mesh	0.925	0.5	1	charsys/nu_metal/nu_metal_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/nu_metal/nu_metal_shadow.rnd
punk	punk	0	guitarist	charsys/punk	punk	charsys/punk/gen/punk.rnd_ps2	0.28	0,0,0,41	bone_pelvis.mesh	1	63	0	8	1	bone_head.mesh	0.925	0.5	1	charsys/punk/punk_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/punk/punk_shadow.rnd
classic	classic	0	guitarist	charsys/classic	classic	charsys/classic/gen/classic.rnd_ps2	0.28	0,0,0,38	bone_pelvis.mesh	1	63	0	8	1	bone_head.mesh	0.925	0.5	1	charsys/classic/classic_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/classic/male_shadow.rnd
alterna	alterna	0	guitarist	charsys/alterna	alterna	charsys/alterna/gen/alterna.rnd_ps2	0.28	0,0,0,36	bone_pelvis.mesh	1	63	0	8	1	bone_head.mesh	0.925	0.5	1	charsys/alterna/alterna_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/alterna/alterna_shadow.rnd
hair_metal	hair_metal	0	guitarist	charsys/hair_metal	hair_metal	charsys/hair_metal/gen/hair_metal.rnd_ps2	0.28	0,0,0,36	bone_pelvis.mesh	1	66	0	8	1	bone_head.mesh	0.925	0.5	1	charsys/hair_metal/hairmetal_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/hair_metal/hairmetal_shadow.rnd
hiphop	hiphop	0	guitarist	charsys/hiphop	hiphop	charsys/hiphop/gen/hiphop.rnd_ps2	0.28	0,0,0,39	bone_pelvis.mesh	1	67	0	8	1	bone_head.mesh	0.925	0.5	1	charsys/hiphop/hiphop_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/hiphop/hiphop_shadow.rnd
grim	grim	0	guitarist	charsys/grim	grim	charsys/grim/gen/grim.rnd_ps2	0.3	0,0,0,53	bone_pelvis.mesh	1	65	0	13	1	bone_head.mesh	0.925	0.5	1	charsys/grim/grim_face.rnd	10	ref,bad01,bad02,bad03,good01,good02,good03,good04,good05,blink	5	0:bad01,bad02,bad03;1:bad01,bad02,bad03;2:ref,good01;3:good01,good02,good03,good04,good05;4:good01,good02,good03,good04,good05	0.5	1	hero		113:good01,114:good02	charsys/grim/grim_shadow.rnd
singer	metal_singer	1	singer	charsys/metal_singer	metal_singer	charsys/metal_singer/gen/metal_singer.rnd_ps2	0.5	0,0,0,0		0	26	0	2	0		0	0	0	charsys/metal_singer/metal_face.rnd	2	ref,open	0		0.1		singer	257	108:open	
bass	metal_bass	1	bassist	charsys/metal_bass	metal_bass	charsys/metal_bass/gen/metal_bass.rnd_ps2	0.4	0,0,0,0		0	31	0	2	0		0	0	0		0		0		0					
drummer	metal_drummer	1	drummer	charsys/metal_drummer	metal_drummer	charsys/metal_drummer/gen/metal_drummer.rnd_ps2	0.35	0,0,0,0		0	24	1	2	0		0	0	0		0		0		0					
keyboard	metal_keyboard	1	keyboardist	charsys/metal_keyboard	metal_keyboard	charsys/metal_keyboard/gen/metal_keyboard.rnd_ps2	0.4	0,0,0,0		0	24	1	2	0		0	0	0		0		0		0					
singer	female_singer	1	singer	charsys/female_singer	female_singer	charsys/female_singer/gen/female_singer.rnd_ps2	0.5	0,0,0,0		0	26	0	2	0		0	0	0	charsys/female_singer/face_female_singer.rnd	2	ref,open	0		0.1		singer	257	108:open	
