character	directory	root_type	entries	payload_bytes	container_bytes	internal_references	face_transitions	face_controller_type	complete	unresolved_dependencies	generated_dependencies
metal	metal	BandCharacter	758	1562387	803171	2097	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
nu_metal	nu_metal	BandCharacter	755	1599245	817524	2000	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
punk	punk	BandCharacter	764	1580967	868448	2134	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
classic	classic	BandCharacter	632	1474128	849269	1540	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
alterna	alterna	BandCharacter	748	1656363	857025	2006	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
hair_metal	hair_metal	BandCharacter	669	1600192	864670	1748	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
hiphop	hiphop	BandCharacter	642	1516498	823336	1604	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
grim	grim	BandCharacter	693	1618591	895418	1879	100	gh1_guitarist_morph_face	1		face-control-config:gh1_guitarist_morph_face
singer	metal_singer	Character	120	570674	291253	400	4	gh1_singer_morph_face	1		face-control-config:gh1_singer_morph_face
bass	metal_bass	Character	81	449696	257076	277	0		1		
drummer	metal_drummer	Character	80	345186	195473	268	0		1		
keyboard	metal_keyboard	Character	85	409814	217545	283	0		1		
singer	female_singer	Character	123	648240	325154	401	4	gh1_singer_morph_face	1		face-control-config:gh1_singer_morph_face
