clip_set	role	directory	clips	entries	payload_bytes	container_bytes
main::bass.cset	band	metal_bass_main	5	40	240108	217579
main::drummer.cset	band	metal_drummer_main	11	40	257637	205751
main::keyboard.cset	band	metal_keyboard_main	5	34	175142	146228
main::singer.cset	band	metal_singer_main	5	35	230227	197397
main::singer.cset	band	female_singer_main	5	35	196444	170623
main::metal.cset	guitar-main	metal_main	78	157	2177443	1746737
main::metal_ui.cset	guitar-ui	metal_ui	1	66	80928	63662
main::metal_hand.cset	guitar-fret	metal_fret	25	92	36747	10007
main::metal_hand.cset	guitar-strum	metal_strum	4	71	19121	8807
main::nu_metal.cset	guitar-main	nu_metal_main	79	165	2541616	2060082
main::nu_metal_ui.cset	guitar-ui	nu_metal_ui	1	69	79981	55558
main::nu_metal_hand.cset	guitar-fret	nu_metal_fret	25	95	37319	10693
main::nu_metal_hand.cset	guitar-strum	nu_metal_strum	4	74	20563	9859
main::punk.cset	guitar-main	punk_main	78	160	2071254	1663858
main::punk_ui.cset	guitar-ui	punk_ui	1	65	85611	43836
main::punk_hand.cset	guitar-fret	punk_fret	25	91	36419	9487
main::punk_hand.cset	guitar-strum	punk_strum	4	70	19787	9466
main::classic.cset	guitar-main	classic_main	78	161	2218475	1778325
main::classic_ui.cset	guitar-ui	classic_ui	1	65	61194	40416
main::classic_hand.cset	guitar-fret	classic_fret	25	91	36561	9861
main::classic_hand.cset	guitar-strum	classic_strum	4	70	19185	8906
main::alterna.cset	guitar-main	alterna_main	81	164	2313300	1862387
main::alterna_ui.cset	guitar-ui	alterna_ui	1	65	40690	30679
main::alterna_hand.cset	guitar-fret	alterna_fret	25	91	36697	10641
main::alterna_hand.cset	guitar-strum	alterna_strum	4	70	19437	9438
main::hair.cset	guitar-main	hair_main	76	158	2251864	1843422
main::hair_ui.cset	guitar-ui	hair_ui	1	67	98374	69502
main::hair_hand.cset	guitar-fret	hair_fret	25	93	36932	10275
main::hair_hand.cset	guitar-strum	hair_strum	4	72	19428	8981
main::hiphop.cset	guitar-main	hiphop_main	77	161	2554882	2097713
main::hiphop_ui.cset	guitar-ui	hiphop_ui	1	70	64346	44480
main::hiphop_hand.cset	guitar-fret	hiphop_fret	25	96	37506	10706
main::hiphop_hand.cset	guitar-strum	hiphop_strum	4	75	20296	9639
main::grim.cset	guitar-main	grim_main	76	171	2254964	1825753
main::grim_ui.cset	guitar-ui	grim_ui	1	80	90701	41335
main::grim_hand.cset	guitar-fret	grim_fret	25	106	39455	11411
main::grim_hand.cset	guitar-strum	grim_strum	4	85	22349	10684
main::grim_wing.cset	generic	grim_wing	3	82	21901	10581
main::crowd.cset	crowd	crowd_main	29	49	580522	533818
