clip_set	archetype	channel_bases	zero_geometry_meshes	resolved	missing
main::bass.cset	charsys/metal_bass/gen/metal_bass.rnd_ps2	29	34	29	
main::drummer.cset	charsys/metal_drummer/gen/metal_drummer.rnd_ps2	23	28	23	
main::keyboard.cset	charsys/metal_keyboard/gen/metal_keyboard.rnd_ps2	23	28	23	
main::singer.cset	charsys/metal_singer/gen/metal_singer.rnd_ps2	24	29	24	
main::singer.cset	charsys/female_singer/gen/female_singer.rnd_ps2	24	29	24	
main::metal.cset	charsys/metal/gen/metal.rnd_ps2	55	64	53	bone_facing,bone_facing_delta
main::metal_ui.cset	charsys/metal/gen/metal.rnd_ps2	53	64	53	
main::metal_hand.cset	charsys/metal/gen/metal.rnd_ps2	35	64	33	bone_fret_hand,bone_strum_hand
main::nu_metal.cset	charsys/nu_metal/gen/nu_metal.rnd_ps2	59	67	57	bone_facing,bone_facing_delta
main::nu_metal_ui.cset	charsys/nu_metal/gen/nu_metal.rnd_ps2	57	67	57	
main::nu_metal_hand.cset	charsys/nu_metal/gen/nu_metal.rnd_ps2	35	67	33	bone_fret_hand,bone_strum_hand
main::punk.cset	charsys/punk/gen/punk.rnd_ps2	55	63	53	bone_facing,bone_facing_delta
main::punk_ui.cset	charsys/punk/gen/punk.rnd_ps2	53	63	53	
main::punk_hand.cset	charsys/punk/gen/punk.rnd_ps2	35	63	33	bone_fret_hand,bone_strum_hand
main::classic.cset	charsys/classic/gen/classic.rnd_ps2	55	63	53	bone_facing,bone_facing_delta
main::classic_ui.cset	charsys/classic/gen/classic.rnd_ps2	53	63	53	
main::classic_hand.cset	charsys/classic/gen/classic.rnd_ps2	35	63	33	bone_fret_hand,bone_strum_hand
main::alterna.cset	charsys/alterna/gen/alterna.rnd_ps2	55	63	53	bone_facing,bone_facing_delta
main::alterna_ui.cset	charsys/alterna/gen/alterna.rnd_ps2	53	63	53	
main::alterna_hand.cset	charsys/alterna/gen/alterna.rnd_ps2	35	63	33	bone_fret_hand,bone_strum_hand
main::hair.cset	charsys/hair_metal/gen/hair_metal.rnd_ps2	58	65	56	bone_facing,bone_facing_delta
main::hair_ui.cset	charsys/hair_metal/gen/hair_metal.rnd_ps2	53	65	53	
main::hair_hand.cset	charsys/hair_metal/gen/hair_metal.rnd_ps2	35	65	33	bone_fret_hand,bone_strum_hand
main::hiphop.cset	charsys/hiphop/gen/hiphop.rnd_ps2	59	68	57	bone_facing,bone_facing_delta
main::hiphop_ui.cset	charsys/hiphop/gen/hiphop.rnd_ps2	53	68	53	
main::hiphop_hand.cset	charsys/hiphop/gen/hiphop.rnd_ps2	35	68	33	bone_fret_hand,bone_strum_hand
main::grim.cset	charsys/grim/gen/grim.rnd_ps2	57	78	55	bone_facing,bone_facing_delta
main::grim_ui.cset	charsys/grim/gen/grim.rnd_ps2	55	78	55	
main::grim_hand.cset	charsys/grim/gen/grim.rnd_ps2	35	78	33	bone_fret_hand,bone_strum_hand
main::grim_wing.cset	charsys/grim/gen/grim.rnd_ps2	2	78	2	
main::crowd.cset	charsys/crowd/gen/crowd_male01.rnd_ps2	19	19	19	
