archive_path	entries	internal_references	payload_bytes	container_bytes	status
venues/arena/gen/campaths.rnd_ps2	33	33	41578	10743	converted
venues/arena/gen/arena.rnd_ps2	667	1535	14132913	1958296	converted
venues/arena/gen/lighting.rnd_ps2	314	780	388848	98860	converted
venues/basement/gen/campaths.rnd_ps2	35	35	44322	12823	converted
venues/basement/gen/crowd.rnd_ps2	40	40	66618	6182	converted
venues/basement/gen/basement.rnd_ps2	314	577	3164737	690936	converted
venues/basement/gen/lighting.rnd_ps2	270	529	458641	186445	converted
venues/big_club/gen/campaths.rnd_ps2	33	33	41578	10730	converted
venues/big_club/gen/big_club.rnd_ps2	372	780	2979898	556550	converted
venues/big_club/gen/lighting.rnd_ps2	341	647	493839	152900	converted
venues/big_club/gen/shadowtest.rnd_ps2	395	994	723756	182301	converted
venues/fest/gen/campaths.rnd_ps2	35	35	44042	10987	converted
venues/fest/gen/crowd.rnd_ps2	30	38	87532	10944	converted
venues/fest/gen/fest.rnd_ps2	432	870	10333228	1602997	converted
venues/fest/gen/lighting.rnd_ps2	226	370	355479	150638	converted
venues/small_club/gen/campaths.rnd_ps2	34	34	42353	11523	converted
venues/small_club/gen/small_club.rnd_ps2	464	1039	2277893	636380	converted
venues/small_club/gen/hot_white.rnd_ps2	9	11	36625	13121	converted
venues/small_club/gen/lighting.rnd_ps2	380	1156	352952	115892	converted
venues/small_club_multi/gen/campaths.rnd_ps2	34	34	42353	11523	converted
venues/small_club_multi/gen/small_club_multi.rnd_ps2	212	472	1115115	332974	converted
venues/small_club_multi/gen/lighting.rnd_ps2	343	1079	302041	103379	converted
venues/theatre/gen/campaths.rnd_ps2	33	33	41578	10701	converted
venues/theatre/gen/crowd.rnd_ps2	26	40	83654	9103	converted
venues/theatre/gen/theatre.rnd_ps2	457	1123	5845108	954247	converted
venues/theatre/gen/lighting.rnd_ps2	330	662	454779	146535	converted
