venue	actor	actor_milo	clip	clip_source	channels	first_beat	first_digest	last_beat	last_digest
battle	crowd_female01	char/crowd/og/gen/crowd_female01.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.0714	d4cf149dbfa82207	1.6506	c3a77f4da8aef154
battle	crowd_female02	char/crowd/og/gen/crowd_female02.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.4319	feafe7e9d8ffab87	2.0110	868e370edef2b873
battle	crowd_female03	char/crowd/og/gen/crowd_female03.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	-0.9086	42db2ef35501bb20	0.6705	15437b5bbab311b7
battle	crowd_female04	char/crowd/og/gen/crowd_female04.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.4054	e59a7a5243db0d10	1.9846	f97536667b6dff9f
battle	crowd_male01	char/crowd/og/gen/crowd_male01.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.2099	6fc87ffc15f5f158	0.3693	1e11d857adbbda55
battle	crowd_male02	char/crowd/og/gen/crowd_male02.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.6231	9a9229a373ea5042	0.9561	9569ba443703d2a5
battle	crowd_male03	char/crowd/og/gen/crowd_male03.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-1.2159	cfa1320bcd713ccb	0.3632	e4339ce83ca18cce
battle	crowd_male04	char/crowd/og/gen/crowd_male04.milo_ps2	male02_1armpump_01	char/crowd/anims/gen/male2_main.milo_ps2	19	-0.4022	366cb61807fcdec0	1.1770	616468b78bc7bbc4
arena	crowd_female01	char/crowd/og/gen/crowd_female01.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.0714	d4cf149dbfa82207	1.6506	c3a77f4da8aef154
arena	crowd_female02	char/crowd/og/gen/crowd_female02.milo_ps2	female01_1armpump_01	char/crowd/anims/gen/female_main.milo_ps2	19	0.4319	feafe7e9d8ffab87	2.0110	868e370edef2b873
arena	crowd_male02	char/crowd/og/gen/crowd_male02.milo_ps2	male01_1armpump_01	char/crowd/anims/gen/male1_main.milo_ps2	19	-0.5855	32b3b423fa19f393	0.9937	5120b6a5691adc4a
