family	venue	exit	state	multimesh_objects	multimesh_instances	multimesh_submitted	multimesh_missing	crowd_env_binds	worldcrowd_actors	worldcrowd_placements	manufactured_floor_rows	decode_errors
GH1	arena	0	playing	5	486	486	0	1	0	0	0	0
GH1	basement	0	playing	5	92	92	0	1	0	0	0	0
GH1	big_club	0	playing	5	423	423	0	1	0	0	0	0
GH1	fest	0	playing	5	598	598	0	1	0	0	0	0
GH1	small_club	0	playing	5	161	161	0	1	0	0	0	0
GH1	small_club_multi	0	playing	5	5	5	0	1	0	0	0	0
GH1	theatre	0	playing	5	500	500	0	1	0	0	0	0
GH2	battle	0	playing	0	0	0	0	0	8	103	0	0
GH2	arena	0	playing	0	0	0	0	0	5	450	0	0
GH2	theatre	0	playing	0	0	0	0	0	8	764	0	0
GH2	fest	0	playing	0	0	0	0	0	6	615	0	0
GH2	big	0	playing	0	0	0	0	0	6	150	0	0
GH2	small1	0	playing	0	0	0	0	0	8	146	0	0
GH2	small2	0	playing	0	0	0	0	0	5	91	0	0
GH2	stone	0	playing	0	0	0	0	0	3	1761	0	0
