role	catalog_id	display_name	source_cost	half_cost	default_outfit	resource_milo	variant_milo
bass	c20bass	Jackson<sup>TM</sup> C20 Concert<sup>TM</sup> Bass	479	239	c20bass_paint	source_ark\char\instruments\bass\c20bass\gen\c20bass_resource.milo_wii	source_ark\char\instruments\bass\gen\c20bass_paint.milo_wii
bass	doublebass	Fender<sup>TM</sup> Doubleneck Custom Bass	999	499	doublebass_paint	source_ark\char\instruments\bass\doublebass\gen\doublebass_resource.milo_wii	source_ark\char\instruments\bass\gen\doublebass_paint.milo_wii
bass	falconbass	Gretsch<sup>TM</sup> G6136LSB White Falcon<sup>TM</sup> Long Scale Hollow-Body Bass	4575	2287	falconbass_paint	source_ark\char\instruments\bass\falconbass\gen\falconbass_resource.milo_wii	source_ark\char\instruments\bass\gen\falconbass_paint.milo_wii
bass	g6073	Gretsch<sup>TM</sup> G6073 Electrotone<sup>TM</sup> Bass	999	499	g6073_paint	source_ark\char\instruments\bass\g6073\gen\g6073_resource.milo_wii	source_ark\char\instruments\bass\gen\g6073_paint.milo_wii
bass	jaguarbass	Fender<sup>TM</sup> Deluxe Jaguar<sup>TM</sup> Bass	999	499	jaguarbass_paint	source_ark\char\instruments\bass\jaguarbass\gen\jaguarbass_resource.milo_wii	source_ark\char\instruments\bass\gen\jaguarbass_paint.milo_wii
bass	jazz01	Fender<sup>TM</sup> 1962 Jazz Bass<sup>TM</sup>	1999	999	jazz01_paint	source_ark\char\instruments\bass\jazz01\gen\jazz01_resource.milo_wii	source_ark\char\instruments\bass\gen\jazz01_paint.milo_wii
bass	jazz02	Fender<sup>TM</sup> 1975 Standard Jazz Bass<sup>TM</sup>	642	321	jazz02_paint	source_ark\char\instruments\bass\jazz02\gen\jazz02_resource.milo_wii	source_ark\char\instruments\bass\gen\jazz02_paint.milo_wii
bass	jazz03	Fender<sup>TM</sup> Jazz Bass<sup>TM</sup> 24	840	420	jazz03_paint	source_ark\char\instruments\bass\jazz03\gen\jazz03_resource.milo_wii	source_ark\char\instruments\bass\gen\jazz03_paint.milo_wii
bass	kelly04	Jackson<sup>TM</sup> Kelly<sup>TM</sup> Bass	899	449	kelly04_paint	source_ark\char\instruments\bass\kelly04\gen\kelly04_resource.milo_wii	source_ark\char\instruments\bass\gen\kelly04_paint.milo_wii
bass	mb4	Squier<sup>TM</sup> MB-4 Bass	349	174	mb4_paint	source_ark\char\instruments\bass\mb4\gen\mb4_resource.milo_wii	source_ark\char\instruments\bass\gen\mb4_paint.milo_wii
bass	mustang01	Fender<sup>TM</sup> Classic Mustang<sup>TM</sup> Bass	699	349	mustang01_paint	source_ark\char\instruments\bass\mustang01\gen\mustang01_resource.milo_wii	source_ark\char\instruments\bass\gen\mustang01_paint.milo_wii
bass	precision01	Fender<sup>TM</sup> American Vintage 1962 Precision Bass<sup>TM</sup>	1999	999	precision01_paint	source_ark\char\instruments\bass\precision01\gen\precision01_resource.milo_wii	source_ark\char\instruments\bass\gen\precision01_paint.milo_wii
bass	precision02	Fender<sup>TM</sup> Big Block Precision Bass<sup>TM</sup>	299	149	precision02_paint	source_ark\char\instruments\bass\precision02\gen\precision02_resource.milo_wii	source_ark\char\instruments\bass\gen\precision02_paint.milo_wii
bass	precision04	Fender<sup>TM</sup> 1951 Precision Bass<sup>TM</sup>	849	424	precision04_paint	source_ark\char\instruments\bass\precision04\gen\precision04_resource.milo_wii	source_ark\char\instruments\bass\gen\precision04_paint.milo_wii
bass	precision05	Fender<sup>TM</sup> American Standard Precision Bass<sup>TM</sup>	149	74	precision05_paint	source_ark\char\instruments\bass\precision05\gen\precision05_resource.milo_wii	source_ark\char\instruments\bass\gen\precision05_paint.milo_wii
bass	telebass	Squier<sup>TM</sup> Vintage Modified Precision Bass® TB	415	207	telebass_paint	source_ark\char\instruments\bass\telebass\gen\telebass_resource.milo_wii	source_ark\char\instruments\bass\gen\telebass_paint.milo_wii
bass	axebass	The Axecutioner Bass	50000	25000	axebass_resource	source_ark\char\instruments\bass\gen\axebass_resource.milo_wii	source_ark\char\instruments\bass\gen\axebass_resource.milo_wii
bass	batwingbass	The Batwing Bass	16000	8000	batwingbass_resource	source_ark\char\instruments\bass\gen\batwingbass_resource.milo_wii	source_ark\char\instruments\bass\gen\batwingbass_resource.milo_wii
bass	boltbass	Lightning Bolt! Bass	11450	5725	boltbass_resource	source_ark\char\instruments\bass\gen\boltbass_resource.milo_wii	source_ark\char\instruments\bass\gen\boltbass_resource.milo_wii
bass	brainbass	The Brain Bass	42200	21100	brainbass_resource	source_ark\char\instruments\bass\gen\brainbass_resource.milo_wii	source_ark\char\instruments\bass\gen\brainbass_resource.milo_wii
bass	chainsawbass	The Chainsaw Bass	14000	7000	chainsawbass_resource	source_ark\char\instruments\bass\gen\chainsawbass_resource.milo_wii	source_ark\char\instruments\bass\gen\chainsawbass_resource.milo_wii
bass	cthulhubass	Cthulhu's Revenge Bass	47000	23500	cthulhubass_resource	source_ark\char\instruments\bass\gen\cthulhubass_resource.milo_wii	source_ark\char\instruments\bass\gen\cthulhubass_resource.milo_wii
bass	goatheadbass	The Goat Head Bass	66666	33333	goatheadbass_resource	source_ark\char\instruments\bass\gen\goatheadbass_resource.milo_wii	source_ark\char\instruments\bass\gen\goatheadbass_resource.milo_wii
bass	hbombbass	The Bomb Bass	64000	32000	hbombbass_resource	source_ark\char\instruments\bass\gen\hbombbass_resource.milo_wii	source_ark\char\instruments\bass\gen\hbombbass_resource.milo_wii
